Name,Opening_Hours,Street,Locality,Region,PostalCode,Country,Phone,Cuisine
Tamarind Restaurant,Opens tomorrow at 11am,"Plot Number 70, Civil Lines, Roorkee - 247667, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,,India,+919997039999,"Chinese, North Indian, Biryani, Italian, Desserts"
Olive Multicuisine Restaurant,11am – 11:30pm (Today),"273/2, Civil Lines, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,,India,+919997449999,"North Indian, Chinese, Biryani, Italian, Sandwich, Desserts, Beverages"
Rustic House,Opens tomorrow at 11am,"77/2 Civil Lines, Above Central Bank, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,,India,+919720155555,"North Indian, Chinese"
Hangries,"12midnight – 1am, 9:45am – 12midnight (Today)","Opposite Indian Institute Of Technology, Civil Lines, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,247667,India,+919745297452,"Chinese, Burger, Pizza, Italian, Beverages"
Milk Bar,Opens tomorrow at 10am,"19, Civil lines, Roorkee, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,,India,+919548801704,"Bakery, Desserts, Pizza, Italian, Chinese"
Desi Tadka,Opens tomorrow at 12noon,"254/1, Civil Lines, Haridwar Highway Road, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,,India,"+919897002272, +919897738777, +919068609772","North Indian, Biryani, Chinese, Kebab"
Prakash Restaurant,Opens tomorrow at 11am,"Azad Nagar Chowk, Roorkee","Roorkee Locality, Roorkee",Roorkee,247667,India,+919068702405,"North Indian, Chinese, South Indian, Biryani, Pizza, Desserts"
Hitchki,Opens tomorrow at 12noon,"Main Civil Line Market, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,247667,India,+919760337193,North Indian
Tanisha's Restaurant Royal Hyderabadi Biryani,Opens tomorrow at 11am,"29, Near Axess Bank, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,247667,India,+919520100700,"Biryani, Chinese, North Indian"
18 Down Town Pool & Restaurant,Opens tomorrow at 11:15am,"Khasra 256/5, Asaf Nagar Chouraha, Right Canal Road, Near Eapro Solar Plant, Roorkee Locality, Roorkee","Roorkee Locality, Roorkee",Roorkee,247666,India,+919837574874,"North Indian, Chinese, Salad, Pasta, Sandwich, Fast Food, Desserts, Coffee"
